fault_type,severity,cases
p_high,mild,10
p_low,moderate,16
i_high,mild,10
i_low_or_off,moderate,16
i_high_d_high,mild,8
p_high_d_low,mild,8
p_high_i_high,mild,8
p_low_i_high,moderate,16
i_high_d_low,mild,8
p_low_i_high_d_low,mild,8
i_high_d_high,moderate,8
p_high_d_low,moderate,8
p_high_i_high,moderate,8
i_high_d_low,moderate,8
p_low_i_high_d_low,moderate,8
p_high,moderate,6
i_high,moderate,6
p_high,severe,4
p_low,severe,4
i_high,severe,4
i_low_or_off,severe,4
i_high_d_high,severe,4
p_high_d_low,severe,4
p_high_i_high,severe,4
p_low_i_high,severe,4
i_high_d_low,severe,4
p_low_i_high_d_low,severe,4
