model,system,prompt,case_id,initial_iae,final_iae,iae_improvement_pct
Qwen3.7-Plus,first_order,Full,group_001_example_K_0.26_T_109,307.69,193.98411931715032,36.95468838208901
Qwen3.7-Plus,first_order,Full,group_002_example_K_0.74_T_205,626.68,473.7063160253216,24.41017488585536
Qwen3.7-Plus,first_order,Full,group_003_example_K_0.74_T_205,475.81,566.3360724357564,-19.02567672721388
Qwen3.7-Plus,first_order,Full,group_004_example_K_0.40_T_321,957.35,470.7582841549631,50.82694060114241
Qwen3.7-Plus,first_order,Full,group_005_example_K_0.68_T_328,661.56,586.5274532086349,11.341759899535191
Qwen3.7-Plus,first_order,Full,group_006_example_K_0.39_T_253,612.88,369.8466922634093,39.65430553070596
Qwen3.7-Plus,first_order,Full,group_007_example_K_0.60_T_240,532.35,318.5490521871406,40.1617258970338
Qwen3.7-Plus,first_order,Full,group_008_example_K_0.33_T_129,477.24,547.5439024806969,-14.73135162197153
Qwen3.7-Plus,first_order,Full,group_009_example_K_0.34_T_382,774.23,607.1039119696441,21.586103358221195
Qwen3.7-Plus,first_order,Full,group_010_example_K_0.77_T_237,690.8,562.9508862948031,18.50739920457395
Qwen3.7-Plus,first_order,Full,group_011_example_K_0.39_T_518,688.47,439.4343919764246,36.17232530445414
Qwen3.7-Plus,first_order,Full,group_012_example_K_0.77_T_237,559.94,355.56957118307383,36.498629999093865
Qwen3.7-Plus,first_order,Full,group_013_example_K_0.27_T_293,454.64,295.4858509643379,35.006631408512696
Qwen3.7-Plus,first_order,Full,group_014_example_K_0.86_T_134,403.23,106.18073172436257,73.66745239085323
Qwen3.7-Plus,first_order,Full,group_015_example_K_0.34_T_413,625.42,648.3438200046196,-3.665348086824797
Qwen3.7-Plus,first_order,Full,group_016_example_K_0.73_T_227,243.3,165.4594889129237,31.99363382123975
Qwen3.7-Plus,first_order,Full,group_017_example_K_0.29_T_279,512.05,284.7887649418202,44.38262573150664
Qwen3.7-Plus,first_order,Full,group_018_example_K_0.67_T_204,437.56,401.6278622752276,8.211933843306614
Qwen3.7-Plus,first_order,Full,group_019_example_K_0.45_T_561,706.33,1011.867005835178,-43.25697702705222
Qwen3.7-Plus,first_order,Full,group_020_example_K_0.64_T_526,628.3,368.522409161293,41.346107088764434
Qwen3.7-Plus,first_order,Full,group_021_example_K_0.47_T_191,165.54,108.92944539736412,34.19750791508752
Qwen3.7-Plus,first_order,Full,group_022_example_K_0.85_T_566,409.01,212.40322643704513,48.068940505844566
Qwen3.7-Plus,first_order,Full,group_023_example_K_0.30_T_209,81.19,56.755182085015974,30.09584667444762
Qwen3.7-Plus,first_order,Full,group_024_example_K_0.83_T_211,266.66,97.77685440029798,63.332762918961244
Qwen3.7-Plus,first_order,Full,group_025_example_K_0.69_T_320,137.99,117.02129370499718,15.195815852600065
Qwen3.7-Plus,first_order,Full,group_026_example_K_0.69_T_143,119.2,73.2801302479808,38.52338066444565
Qwen3.7-Plus,first_order,Full,group_027_example_K_0.47_T_312,224.35,114.54842613725012,48.94208774804987
Qwen3.7-Plus,first_order,Full,group_028_example_K_0.37_T_346,172.91,127.62579242093783,26.189467109514872
Qwen3.7-Plus,first_order,Full,group_029_example_K_0.49_T_533,442.79,259.2362771316045,41.45389978734739
Qwen3.7-Plus,first_order,Full,group_030_example_K_0.86_T_426,178.99,136.47433824919776,23.753093329684482
Qwen3.7-Plus,first_order,Full,group_031_example_K_0.82_T_257,460.4,305.7008980725711,33.60102127007578
Qwen3.7-Plus,first_order,Full,group_032_example_K_0.31_T_123,280.55,203.54186957826917,27.448986070836156
Qwen3.7-Plus,first_order,Full,group_033_example_K_0.68_T_208,293.06,308.55607643201824,-5.287680485913548
Qwen3.7-Plus,first_order,Full,group_034_example_K_0.62_T_413,546.44,294.8942550536962,46.033552621752406
Qwen3.7-Plus,first_order,Full,group_035_example_K_0.82_T_313,339.61,342.2245223393092,-0.7698602335941784
Qwen3.7-Plus,first_order,Full,group_036_example_K_0.74_T_421,575.98,343.5444358869793,40.354797755654836
Qwen3.7-Plus,first_order,Full,group_037_example_K_0.64_T_163,235.94,135.83337483737827,42.4288485049681
Qwen3.7-Plus,first_order,Full,group_038_example_K_0.36_T_128,273.86,317.9708938187668,-16.107096260412902
Qwen3.7-Plus,first_order,Full,group_039_example_K_0.31_T_324,451.84,1450.427117841408,-221.00458521631734
Qwen3.7-Plus,first_order,Full,group_040_example_K_0.76_T_553,577.35,416.00631657989834,27.945558746012242
Qwen3.7-Plus,first_order,Full,group_041_example_K_0.22_T_416,185.22,101.43009828406751,45.2380421746747
Qwen3.7-Plus,first_order,Full,group_042_example_K_0.81_T_583,325.39,167.697454434789,48.46262809711761
Qwen3.7-Plus,first_order,Full,group_043_example_K_0.68_T_442,341.48,341.20928741066115,0.07927626488780327
Qwen3.7-Plus,first_order,Full,group_044_example_K_0.77_T_377,387.32,189.29825929931283,51.12613361062872
Qwen3.7-Plus,first_order,Full,group_045_example_K_0.38_T_440,258.28,173.0298387836533,33.00687672926541
Qwen3.7-Plus,first_order,Full,group_046_example_K_0.51_T_269,236.47,122.38608941573291,48.24455981065974
Qwen3.7-Plus,first_order,Full,group_047_example_K_0.48_T_258,136.5,103.56088888115364,24.131216936883774
Qwen3.7-Plus,first_order,Full,group_048_example_K_0.86_T_241,230.44,264.0745798943638,-14.595807973599987
Qwen3.7-Plus,first_order,Full,group_049_example_K_0.44_T_506,469.81,672.7467388209313,-43.19549154358812
Qwen3.7-Plus,first_order,Full,group_050_example_K_0.73_T_175,124.9,104.52987978504376,16.3091434867544
Qwen3.7-Plus,first_order,Full,group_051_example_K_0.45_T_500,272.89,117.11366741411683,57.08392853746314
Qwen3.7-Plus,first_order,Full,group_052_example_K_0.72_T_111,78.23,55.17626850099922,29.469169754570856
Qwen3.7-Plus,first_order,Full,group_053_example_K_0.22_T_586,423.79,761.5915913851725,-79.70966549120376
Qwen3.7-Plus,first_order,Full,group_054_example_K_0.89_T_356,417.33,207.1896848578936,50.353512841661605
Qwen3.7-Plus,first_order,Full,group_055_example_K_0.84_T_336,185.45,102.36620381732148,44.8011842451758
Qwen3.7-Plus,first_order,Full,group_056_example_K_0.57_T_219,245.02,117.29077021816522,52.1301239824646
Qwen3.7-Plus,first_order,Full,group_057_example_K_0.50_T_204,212.03,112.84313853657835,46.77963564751292
Qwen3.7-Plus,first_order,Full,group_058_example_K_0.21_T_316,289.83,385.7950707585233,-33.11081349705805
Qwen3.7-Plus,first_order,Full,group_059_example_K_0.49_T_281,139.66,70.00861787892033,49.872105199111886
Qwen3.7-Plus,first_order,Full,group_060_example_K_0.21_T_112,113.67,145.43772426035812,-27.94732494093263
Qwen3.7-Plus,first_order,Full,group_061_example_K_0.73_T_163,73.1,34.37840827062319,52.97071372007771
Qwen3.7-Plus,first_order,Full,group_062_example_K_0.72_T_538,292.31,155.27907285284942,46.87863129798863
