model,system,prompt,case_id,initial_iae,final_iae,iae_improvement_pct
DeepSeek-V4-Flash,first_order,Full,group_001_example_K_0.26_T_109,307.69,193.98355665426809,36.95487124889724
DeepSeek-V4-Flash,first_order,Full,group_002_example_K_0.74_T_205,626.68,473.7063160253216,24.41017488585536
DeepSeek-V4-Flash,first_order,Full,group_003_example_K_0.74_T_205,475.81,238.38002970347503,49.90016399330089
DeepSeek-V4-Flash,first_order,Full,group_004_example_K_0.40_T_321,957.35,418.71553025814484,56.26306677201182
DeepSeek-V4-Flash,first_order,Full,group_005_example_K_0.68_T_328,661.56,551.3311577341011,16.661956929968383
DeepSeek-V4-Flash,first_order,Full,group_006_example_K_0.39_T_253,612.88,369.81367130715535,39.6596933645811
DeepSeek-V4-Flash,first_order,Full,group_007_example_K_0.60_T_240,532.35,225.63519919294342,57.61525327454805
DeepSeek-V4-Flash,first_order,Full,group_008_example_K_0.33_T_129,477.24,274.8784321216912,42.40247420130517
DeepSeek-V4-Flash,first_order,Full,group_009_example_K_0.34_T_382,774.23,827.4190032124384,-6.869922789408621
DeepSeek-V4-Flash,first_order,Full,group_010_example_K_0.77_T_237,690.8,628.6565743540283,8.9958635851146
DeepSeek-V4-Flash,first_order,Full,group_011_example_K_0.39_T_518,688.47,453.4043559037721,34.143193471934566
DeepSeek-V4-Flash,first_order,Full,group_012_example_K_0.77_T_237,559.94,383.49116401189303,31.512097008269993
DeepSeek-V4-Flash,first_order,Full,group_013_example_K_0.27_T_293,454.64,403.606026899859,11.22513925306638
DeepSeek-V4-Flash,first_order,Full,group_014_example_K_0.86_T_134,403.23,97.25227239395589,75.88168727675126
DeepSeek-V4-Flash,first_order,Full,group_015_example_K_0.34_T_413,625.42,732.6639276367441,-17.147505298318595
DeepSeek-V4-Flash,first_order,Full,group_016_example_K_0.73_T_227,243.3,152.10134071071604,37.484035877223164
DeepSeek-V4-Flash,first_order,Full,group_017_example_K_0.29_T_279,512.05,286.2567927744873,44.0959295431135
DeepSeek-V4-Flash,first_order,Full,group_018_example_K_0.67_T_204,437.56,237.16097549271126,45.799210281398835
DeepSeek-V4-Flash,first_order,Full,group_019_example_K_0.45_T_561,706.33,821.8204732113347,-16.3507812511623
DeepSeek-V4-Flash,first_order,Full,group_020_example_K_0.64_T_526,628.3,444.9151865120578,29.187460367331237
DeepSeek-V4-Flash,first_order,Full,group_021_example_K_0.47_T_191,165.54,142.2951936771994,14.041806404978013
DeepSeek-V4-Flash,first_order,Full,group_022_example_K_0.85_T_566,409.01,287.2430179849282,29.77115034230747
