step,loss
10,1.0296
20,0.9878
30,0.9094
40,0.8432
50,0.7938
60,0.7599
70,0.7601
80,0.7267
90,0.7494
100,0.7263
110,0.7084
120,0.7196
130,0.6948
140,0.6931
150,0.6914
160,0.6871
170,0.6828
180,0.6945
190,0.6992
200,0.6923
210,0.7101
220,0.6624
230,0.6791
240,0.6806
250,0.6612
260,0.6773
270,0.6756
280,0.6908
290,0.6855
300,0.6617
310,0.6569
320,0.6664
330,0.7031
340,0.6919
350,0.688
360,0.6613
370,0.6721
380,0.6606
390,0.6829
400,0.6606
410,0.6661
420,0.6478
430,0.6708
440,0.6705
450,0.6623
460,0.6729
470,0.6561
480,0.6642
490,0.668
500,0.6539
510,0.6894
520,0.663
530,0.6546
540,0.6621
550,0.6667
560,0.6652
570,0.6593
580,0.6604
590,0.6702
600,0.6632
610,0.677
620,0.6344
630,0.6489
640,0.6295
650,0.6409
660,0.6489
670,0.6633
680,0.6611
690,0.6557
700,0.6419
710,0.642
720,0.6455
730,0.6536
740,0.6453
750,0.6597
760,0.6465
770,0.6283
780,0.6393
790,0.6434
800,0.6439
810,0.6447
820,0.6526
830,0.6501
840,0.6399
850,0.633
860,0.6505
870,0.6393
880,0.6394
890,0.6285
900,0.6262
910,0.6467
920,0.6551
930,0.65
940,0.6202
950,0.6307
960,0.6206
970,0.615
980,0.6293
990,0.6546
1000,0.6271
1010,0.6216
1020,0.6277
1030,0.6462
1040,0.6312
1050,0.6355
1060,0.6374
1070,0.6301
1080,0.6392
1090,0.6329
1100,0.6327
1110,0.6344
1120,0.6217
1130,0.6297
1140,0.6308
1150,0.6407
1160,0.6461
1170,0.6472
1180,0.6187
1190,0.6511
1200,0.638
1210,0.6349
1220,0.6503
1230,0.6368
1240,0.6305
1250,0.6512
1260,0.6178
1270,0.6482
1280,0.6202
1290,0.6369
1300,0.631
1310,0.6165
1320,0.6228
1330,0.6268
1340,0.6472
1350,0.6294
1360,0.6382
1370,0.6195
1380,0.6075
1390,0.6309
1400,0.6382
1410,0.6294
1420,0.6229
1430,0.6245
1440,0.6355
1450,0.6505
1460,0.6257
1470,0.6457
1480,0.6293
1490,0.6248
1500,0.618
1510,0.6359
1520,0.6104
1530,0.6163
1540,0.6335
1550,0.6376
1560,0.6437
1570,0.6447
1580,0.629
1590,0.6219
1600,0.6321
1610,0.6354
1620,0.6399
1630,0.6406
1640,0.6286
1650,0.6218
1660,0.6185
1670,0.6194
1680,0.6577
1690,0.6315
1700,0.607
1710,0.6287
1720,0.5948
1730,0.6341
1740,0.628
1750,0.6081
1760,0.6325
1770,0.6112
1780,0.636
1790,0.6189
1800,0.6381
1810,0.6124
1820,0.6281
1830,0.6249
1840,0.6353
1850,0.6354
1860,0.6282
1870,0.6126
1880,0.6438
1890,0.6208
1900,0.6268
1910,0.6229
1920,0.6223
1930,0.6206
1940,0.6201
1950,0.6352
1960,0.6179
1970,0.6121
1980,0.6323
1990,0.6272
2000,0.6244
2010,0.6207
2020,0.626
2030,0.6289
2040,0.6124
2050,0.6214
2060,0.6227
2070,0.6195
2080,0.6262
2090,0.6201
2100,0.6236
2110,0.6308
2120,0.6291
2130,0.6199
2140,0.6215
2150,0.6283
2160,0.6213
2170,0.6342
2180,0.6071
2190,0.6185
2200,0.6268
2210,0.6199
2220,0.613
2230,0.6196
2240,0.6312
2250,0.6208
2260,0.6454
2270,0.6328
2280,0.6221
2290,0.6238
2300,0.6306
2310,0.6161
2320,0.6226
2330,0.6294
2340,0.6283
2350,0.6215
2360,0.6097
2370,0.6325
2380,0.6296
2390,0.6156
2400,0.6293
2410,0.6195
2420,0.5943
2430,0.6245
2440,0.6361
2450,0.6101
2460,0.6281
2470,0.5999
2480,0.61
2490,0.6282
2500,0.6199
2510,0.634
2520,0.6006
2530,0.6235
2540,0.6009
2550,0.6309
2560,0.6115
2570,0.6152
2580,0.6442
2590,0.6116
2600,0.6297
2610,0.6207
2620,0.6371
2630,0.6169
2640,0.6232
2650,0.6336
2660,0.6232
2670,0.6115
2680,0.626
2690,0.6255
2700,0.6103
2710,0.6272
2720,0.6334
2730,0.6224
2740,0.6184
2750,0.634
2760,0.6363
2770,0.6189
2780,0.6136
2790,0.6104
2800,0.6263
2810,0.6128
2820,0.6321
2830,0.6341
2840,0.6338
2850,0.6191
